,metric,VertLevel,Label,p-values,p-value_type,p-values_FDR_corrected
100,ODI,4,ventral funiculi,0.2545623141696925,UPDRSIII,0.4242705236161542
101,ODI,4,ventral funiculi,0.042467844721013885,Age,0.7872858568654187
102,ODI,5,ventral funiculi,0.2449900482608272,UPDRSIII,0.4242705236161542
103,ODI,5,ventral funiculi,0.2077848647664405,Age,0.7872858568654187
104,ODI,2,lateral funiculi,0.37227403660546377,UPDRSIII,0.5026040657262937
105,ODI,2,lateral funiculi,0.19069037330705582,Age,0.7872858568654187
106,ODI,3,lateral funiculi,0.197202307857296,UPDRSIII,0.4242705236161542
107,ODI,3,lateral funiculi,0.5165274172407109,Age,0.811575236824404
108,ODI,4,lateral funiculi,0.1488220355620489,UPDRSIII,0.4242705236161542
109,ODI,4,lateral funiculi,0.2739104276130537,Age,0.7872858568654187
110,ODI,5,lateral funiculi,0.6501846621860738,UPDRSIII,0.722427402428971
111,ODI,5,lateral funiculi,0.9698879370559432,Age,0.9887005018263992
112,ODI,2,gray matter,0.7035726182183814,UPDRSIII,0.7406027560193488
113,ODI,2,gray matter,0.31248791345707977,Age,0.7872858568654187
114,ODI,3,gray matter,0.2092951561682906,UPDRSIII,0.4242705236161542
115,ODI,3,gray matter,0.8927186023161697,Age,0.9887005018263992
116,ODI,4,gray matter,0.3778324973306667,UPDRSIII,0.5026040657262937
117,ODI,4,gray matter,0.27421990892358855,Age,0.7872858568654187
118,ODI,5,gray matter,0.7486229801167499,UPDRSIII,0.7486229801167499
119,ODI,5,gray matter,0.9887005018263992,Age,0.9887005018263992
120,FA,2,white matter,0.04608516796679892,UPDRSIII,0.14747253749375655
121,FA,2,white matter,0.11285091191995052,Age,0.2579449415313155
122,FA,3,white matter,0.013820377828965634,UPDRSIII,0.058083353030929465
123,FA,3,white matter,0.17920907363084207,Age,0.3511564716470267
124,FA,4,white matter,0.6184568827706473,UPDRSIII,0.7068078660235969
